Model,Minus Edges,RMSE,MAE,MSE,PCC
Model_A,20,0.17859731240978965,0.14837705,0.031897,-0.020925
Model_A,50,0.18744065727584291,0.16539078000000004,0.035134,0.345961
Model_A,100,0.17703671935505358,0.15327871999999998,0.031342,0.584819
Model_A,150,0.1895019788814882,0.15898671333333336,0.035911,0.460905
Model_A,200,0.1848864516399187,0.15687429,0.034183,0.566829
Model_B,20,0.16301226947687097,0.13460755000000005,0.026573,0.206091
Model_B,50,0.18987364219396013,0.1659862,0.036052,0.344396
Model_B,100,0.1827812900709479,0.15614619000000002,0.033409,0.562563
Model_B,150,0.18988417522268672,0.15815118666666667,0.036056,0.460213
Model_B,200,0.18605375567292373,0.15582293,0.034616,0.567379
Model_C,20,0.163905,0.137723,0.026865,0.036394
Model_C,50,0.17269,0.14798,0.029822,0.45187
Model_C,100,0.175512,0.15118,0.030805,0.588941
Model_C,150,0.189059,0.157516,0.035743,0.470126
Model_C,200,0.181934,0.152521,0.0331,0.583565
Model_D,20,0.15237125713204575,0.129317,0.023217,0.230336
Model_D,50,0.1872778684201633,0.155918,0.035073,0.296787
Model_D,100,0.19136875398037162,0.161934,0.036622,0.491349
Model_D,150,0.18548584851680733,0.159693,0.034405,0.48045
Model_D,200,0.18691441891946164,0.159631,0.034937,0.549718
