Algorithm,Dataset,Minus Edges,RMSE,MAE,MSE,PCC
AdamicAdar,amazon,100,0.4598068323105608,0.3959464252313864,0.2114223230394722,-0.2034831009589428
AdamicAdar,amazon,200,0.47861213991092777,0.4248875974804488,0.2290695804701175,0.0367308568596003
AdamicAdar,dblp,100,0.42299527261771247,0.3529274111068608,0.17892500065693287,0.0023106056335133584
AdamicAdar,dblp,200,0.41059683620522436,0.32183671627349236,0.16858976190173983,0.024494495812571123
AdamicAdar,flickr,100,0.2910721056722703,0.2019400214501226,0.08472297070048931,-0.09909214471942993
AdamicAdar,flickr,200,0.36794651965707037,0.2691822455487408,0.13538464132775085,-0.1398390168465908
AdamicAdar,fruit-fly,100,0.36362284546133133,0.2866795691410606,0.13222157374139526,0.6184733194274957
AdamicAdar,fruit-fly,200,0.41605718370014394,0.33280305529189463,0.17310358010849533,0.5557234718445971
CommonNeighbors,amazon,100,0.4425888630965979,0.37982727268033417,0.19588490173713907,-0.20143778381752206
CommonNeighbors,amazon,200,0.47313893042737193,0.41938846254578005,0.22386044748595751,0.003917364201444669
CommonNeighbors,dblp,100,0.45664087267735276,0.38146666397402684,0.20852088659953427,0.04865181048061751
CommonNeighbors,dblp,200,0.434528672199988,0.34327857144310003,0.1888151669638846,0.06523242888222251
CommonNeighbors,flickr,100,0.2980980489944915,0.2058944974728485,0.08886244681432225,-0.13043518646068933
CommonNeighbors,flickr,200,0.3723460106171403,0.26758627379818145,0.13864155162249955,-0.17156916305019704
CommonNeighbors,fruit-fly,100,0.34897460499211397,0.27764666790763537,0.12178327492940197,0.6274164724112382
CommonNeighbors,fruit-fly,200,0.4200505085434621,0.3347699998319149,0.17644242972762114,0.5395586808159041
GAT_Spectral_RW_Correction,amazon,100,0.177197,0.153441,0.031399,0.58084
GAT_Spectral_RW_Correction,amazon,200,0.18017,0.150433,0.032461,0.59312
GAT_Spectral_RW_Correction,dblp,100,0.182141,0.140355,0.033175,0.7155
GAT_Spectral_RW_Correction,dblp,200,0.182183,0.14182,0.033191,0.752317
GAT_Spectral_RW_Correction,flickr,100,0.07087,0.048571,0.005023,0.863122
GAT_Spectral_RW_Correction,flickr,200,0.089195,0.054303,0.007956,0.885562
GAT_Spectral_RW_Correction,fruit-fly,100,0.186341,0.122128,0.034723,0.788908
GAT_Spectral_RW_Correction,fruit-fly,200,0.195981,0.1315,0.038409,0.771491
GCN,amazon,100,0.23583804070949554,0.18922992050647736,0.055619582533836365,0.36460810677288935
GCN,amazon,200,0.24654275178909302,0.194367453455925,0.06078333035111427,0.4391148321585082
GCN,dblp,100,0.225178524851799,0.16696901619434357,0.05070536583662033,0.6241191403449436
GCN,dblp,200,0.19898581504821777,0.15062086284160614,0.0395953543484211,0.7148594967231326
GCN,flickr,100,0.08600322902202606,0.05061861872673035,0.007396555505692959,0.7586504285601727
GCN,flickr,200,0.083125539124012,0.0461774542927742,0.006909855641424656,0.8988765874459943
GCN,fruit-fly,100,0.20131118595600128,0.10937844216823578,0.040526196360588074,0.7606609032652483
GCN,fruit-fly,200,0.20315302908420563,0.10916656255722046,0.0412711538374424,0.7787824041803022
Node2Vec,amazon,100,0.20020276308059692,0.1696763038635254,0.040081143379211426,0.4295985655982676
Node2Vec,amazon,200,0.21604539453983307,0.1838034838438034,0.04667561501264572,0.2581804912774692
Node2Vec,dblp,100,0.24567511677742004,0.2050108164548874,0.0603562630712986,0.34583946459665926
Node2Vec,dblp,200,0.23755115270614624,0.20069468021392822,0.056430548429489136,0.5682138174892899
Node2Vec,flickr,100,0.07939699292182922,0.0542508065700531,0.006303882692009211,0.7864893504799912
Node2Vec,flickr,200,0.1150028184056282,0.05900739133358002,0.013225648552179337,0.7989385116290542
Node2Vec,fruit-fly,100,0.2374153733253479,0.18586663901805878,0.05636605620384216,0.6170138167924211
Node2Vec,fruit-fly,200,0.25204282999038696,0.18620482087135315,0.06352559477090836,0.6089184357193003
