category,param_name,param_value,rmse,mse,mae,pcc
L,rw_L,4.0,0.180928,0.032735,0.155677,0.561733
L,rw_L,5.0,0.17593,0.030951,0.151433,0.59092
L,rw_L,6.0,0.17135,0.029361,0.145432,0.614508
L,rw_L,7.0,0.172498,0.029756,0.146826,0.60927
alpha,alpha,0.05,0.174175,0.030337,0.150723,0.604062
alpha,alpha,0.1,0.17732,0.031442,0.153657,0.584735
alpha,alpha,0.15,0.170882,0.029201,0.14383,0.620442
alpha,alpha,0.2,0.178199,0.031755,0.151796,0.576379
alpha,alpha,0.25,0.179305,0.03215,0.153615,0.573791
hidden_dim,hidden_dim,16.0,0.174307,0.030383,0.150644,0.598857
hidden_dim,hidden_dim,32.0,0.173183,0.029993,0.148879,0.61027
hidden_dim,hidden_dim,64.0,0.172862,0.029881,0.147346,0.605301
n_walks,rw_n_walks,2000.0,0.178409,0.03183,0.154476,0.571421
n_walks,rw_n_walks,3000.0,0.176456,0.031137,0.150318,0.596486
n_walks,rw_n_walks,4000.0,0.177043,0.031344,0.151699,0.579199
n_walks,rw_n_walks,5000.0,0.180445,0.03256,0.15463,0.566351
